tile,count,mean_error_px,median_error_px,rmse_px,mean_error_m,median_error_m,rmse_m
md_m_3907620_ne_18_030_20230525_20231018.tif,94.0,6515.33843925206,6515.565659879545,6515.33852335811,1954.601531775618,1954.6696979638632,1954.6015570074333
md_m_3907620_nw_18_030_20230525_20231018.tif,380.0,6514.887804903573,6514.705247061688,6514.8879516855295,1954.4663414710717,1954.4115741185065,1954.466385505659
md_m_3907620_se_18_030_20230525_20231018.tif,15.0,6517.025703807733,6517.0177682030935,6517.0257154090805,1955.1077111423203,1955.1053304609281,1955.1077146227242
md_m_3907620_sw_18_030_20230525_20231018.tif,39.0,6517.141118255175,6517.149267731535,6517.1411251325635,1955.1423354765518,1955.1447803194603,1955.1423375397692
md_m_3907621_ne_18_030_20230527_20231018.tif,248.0,6514.8058553400315,6514.956354004604,6514.805979124378,1954.4417566020097,1954.4869062013809,1954.441793737313
md_m_3907621_se_18_030_20230527_20231018.tif,47.0,6517.090433316669,6517.0971533472475,6517.090449597597,1955.1271299950006,1955.1291460041741,1955.1271348792793
md_m_3907621_sw_18_030_20230525_20231018.tif,13.0,6516.729945344173,6516.696484337308,6516.72995193347,1955.0189836032519,1955.0089453011922,1955.018985580041
md_m_3907622_nw_18_030_20230527_20231018.tif,392.0,6514.790564742412,6514.648017567117,6514.790671466706,1954.4371694227236,1954.394405270135,1954.4372014400117
md_m_3907622_sw_18_030_20230527_20231018.tif,54.0,6516.833598361676,6516.883753940567,6516.833611539257,1955.050079508503,1955.06512618217,1955.0500834617771
md_m_3907622_nw_18_030_20230527_20231018.tif,34.0,6512.83194285663,6512.738782872727,6512.831951926978,1953.8495828569892,1953.821634861818,1953.8495855780934
md_m_3907622_sw_18_030_20230527_20231018.tif,54.0,6516.833598361676,6516.883753940567,6516.833611539257,1955.050079508503,1955.06512618217,1955.0500834617771
pa_m_4007641_se_18_060_20220510.tif,47.0,3241.7651606774775,3241.837957177231,3241.7652326606076,1945.059096406486,1945.1027743063387,1945.0591395963645
pa_m_4007642_sw_18_060_20220704.tif,69.0,3241.6123058813037,3241.630506115428,3241.612382567918,1944.9673835287824,1944.9783036692568,1944.9674295407508
pa_m_4007649_ne_18_060_20220510.tif,48.0,3243.348186779092,3243.346406861727,3243.348238251538,1946.0089120674554,1946.0078441170358,1946.0089429509228
pa_m_4007650_ne_18_060_20220704.tif,51.0,3243.5157312864144,3243.5647643646066,3243.5157756488206,1946.1094387718485,1946.1388586187638,1946.1094653892924
pa_m_4007650_nw_18_060_20220704.tif,73.0,3243.1787792359073,3243.051537561316,3243.1788561781805,1945.9072675415441,1945.8309225367893,1945.9073137069086
pa_m_4007650_se_18_060_20220704.tif,13.0,3245.1805199144146,3245.2341692099653,3245.1805841729993,1947.1083119486486,1947.1405015259793,1947.1083505037996
pa_m_4007651_nw_18_060_20220704.tif,62.0,3243.3358687493624,3243.4115938707855,3243.335923719586,1946.0015212496178,1946.0469563224713,1946.0015542317512
pa_m_4007651_sw_18_060_20220704.tif,49.0,3245.2559127275417,3245.2927885047616,3245.2559623907246,1947.1535476365252,1947.175673102857,1947.1535774344345
