pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-11427472020,40.2932519,-76.8883772,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8883772 40.2932519),1247.887889359277,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472021,40.2905903,-76.8877442,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8877442 40.2905903),1271.3701697620495,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472022,40.2894756,-76.8874409,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8874409 40.2894756),1298.9413085356925,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472023,40.2882375,-76.8870683,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8870683 40.2882375),1340.3679583792684,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472024,40.2916251,-76.8880147,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8880147 40.2916251),1255.7616655036786,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472025,40.2927275,-76.8882177,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8882177 40.2927275),1243.9322439574773,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472026,40.2930502,-76.8880473,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8880473 40.2930502),1223.4823876650416,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472027,40.2928866,-76.8879669,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8879669 40.2928866),1219.7760137361745,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472028,40.2924437,-76.8879457,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8879457 40.2924437),1227.558926191345,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472029,40.2926106,-76.8879133,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8879133 40.2926106),1221.0346700443135,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427559101,40.2763569,-76.8822643,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8822643 40.2763569),1939.9343718154119,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559111,40.2733224,-76.8812412,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8812412 40.2733224),2212.0731685452956,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559112,40.2793828,-76.8835263,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8835263 40.2793828),1708.264590971331,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559113,40.2775735,-76.8825844,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8825844 40.2775735),1834.2003215721688,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559114,40.2774405,-76.8823297,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8823297 40.2774405),1836.4123427914737,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559115,40.2774838,-76.8821901,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8821901 40.2774838),1826.464518763924,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559118,40.2764098,-76.8820744,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8820744 40.2764098),1927.3703387944718,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559120,40.2763032,-76.8820332,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8820332 40.2763032),1936.370462649197,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559121,40.2690564,-76.8796199,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8796199 40.2690564),2621.1528573344253,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427559122,40.2696593,-76.8798389,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8798389 40.2696593),2561.310618295717,False,AI_DET_pa_m_4007642_sw_18_060_20220704_6,0.1177541092038154
OSM-11427622182,40.2578612,-76.857298,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.857298 40.2578612),3588.194445067429,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
OSM-11427622183,40.2581328,-76.8574221,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8574221 40.2581328),3591.511217602796,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
OSM-11427622184,40.2582723,-76.8570305,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8570305 40.2582723),3555.567252225257,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
OSM-11427622185,40.2587781,-76.8571996,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8571996 40.2587781),3557.4630077108163,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
OSM-11427622186,40.2595263,-76.8575068,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8575068 40.2595263),3566.7657017970796,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
OSM-11427622187,40.2596715,-76.8569898,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8569898 40.2596715),3520.577681109357,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
OSM-11427622188,40.2582502,-76.8569693,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8569693 40.2582502),3551.0460262225783,False,AI_DET_pa_m_4007642_sw_18_060_20220704_10,0.0812947526574134
