pole_id,lat,lon,nearest_lat,nearest_lon,delta_lat,delta_lon
AI_DET_pa_m_4007650_ne_18_060_20220704_25,40.19701242703695,-76.76220905806015,40.1994307,-76.7692743,-0.002418272963048196,0.007065241939855582
AI_DET_pa_m_4007650_ne_18_060_20220704_26,40.19707126634281,-76.76219037929795,40.1994307,-76.7692743,-0.0023594336571903796,0.007083920702058322
AI_DET_pa_m_4007650_ne_18_060_20220704_27,40.19481320293492,-76.7797875456032,40.2010252,-76.7766411,-0.0062119970650797995,-0.00314644560319266
AI_DET_pa_m_4007650_nw_18_060_20220704_28,40.234273887805074,-76.82567856227476,40.2265179,-76.8197425,0.007755987805076359,-0.005936062274756182
AI_DET_pa_m_4007650_nw_18_060_20220704_29,40.23435038377794,-76.82568353903203,40.2265179,-76.8197425,0.007832483777939103,-0.005941039032023809
AI_DET_pa_m_4007650_nw_18_060_20220704_30,40.22774700110348,-76.86580731960153,40.225652,-76.8603408,0.002095001103484151,-0.005466519601526443
AI_DET_pa_m_4007650_nw_18_060_20220704_31,40.22780081221596,-76.86582237321653,40.2262109,-76.8600266,0.0015899122159623857,-0.005795773216533462
AI_DET_pa_m_4007650_nw_18_060_20220704_32,40.22765714751386,-76.86579275348934,40.225652,-76.8603408,0.002005147513862937,-0.005451953489341577
AI_DET_pa_m_4007650_nw_18_060_20220704_33,40.22512017866502,-76.87119729613745,40.2219065,-76.8650538,0.00321367866501987,-0.006143496137454463
AI_DET_pa_m_4007650_nw_18_060_20220704_34,40.22515986335678,-76.87125052716696,40.2219065,-76.8650538,0.0032533633567766174,-0.006196727166965843
AI_DET_pa_m_4007650_nw_18_060_20220704_35,40.22595417082034,-76.82540255276794,40.2236553,-76.8225609,0.002298870820339971,-0.0028416527679411274
AI_DET_pa_m_4007650_nw_18_060_20220704_36,40.22356188111267,-76.86753242735954,40.2220576,-76.8649178,0.0015042811126733113,-0.0026146273595344383
AI_DET_pa_m_4007650_nw_18_060_20220704_37,40.21309038261912,-76.8250728729828,40.2173107,-76.8200509,-0.004220317380877248,-0.005021972982802936
AI_DET_pa_m_4007650_nw_18_060_20220704_38,40.21006439527727,-76.82501252351271,40.2160669,-76.8178125,-0.0060025047227298955,-0.007200023512709208
AI_DET_pa_m_4007650_nw_18_060_20220704_39,40.20949322238189,-76.8249562008204,40.2086562,-76.8142282,0.0008370223818872091,-0.010728000820392936
AI_DET_pa_m_4007650_nw_18_060_20220704_40,40.19516582345189,-76.82460439464043,40.1950952,-76.8152962,7.062345189012831e-05,-0.009308194640425427
AI_DET_pa_m_4007650_se_18_060_20220704_41,40.18714062289731,-76.76357753240988,40.1994307,-76.7692743,-0.012290077102690589,0.005696767590123386
AI_DET_pa_m_4007650_se_18_060_20220704_42,40.18542285017299,-76.80316855537794,40.1862759,-76.8159494,-0.0008530498270076237,0.012780844622056975
AI_DET_pa_m_4007650_se_18_060_20220704_43,40.18537916282021,-76.80308079051203,40.1862759,-76.8159494,-0.0008967371797865553,0.012868609487966864
AI_DET_pa_m_4007650_se_18_060_20220704_44,40.17611478300801,-76.800672706759,40.1862759,-76.8159494,-0.01016111699198774,0.01527669324099179
AI_DET_pa_m_4007650_se_18_060_20220704_45,40.17511152077864,-76.78623524321752,40.1862759,-76.8159494,-0.011164379221355603,0.029714156782475243
AI_DET_pa_m_4007650_se_18_060_20220704_46,40.17552439980943,-76.7709697763798,40.1994307,-76.7692743,-0.02390630019056772,-0.0016954763797940586
AI_DET_pa_m_4007650_se_18_060_20220704_47,40.1754892638579,-76.7709105220997,40.1994307,-76.7692743,-0.023941436142102646,-0.0016362220996910537
AI_DET_pa_m_4007650_se_18_060_20220704_48,40.17431234141712,-76.7860651009625,40.1862759,-76.8159494,-0.011963558582877454,0.02988429903749079
