epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,9360.14,1.31608,1.5542,0.91444,0.76057,0.91645,0.8479,0.66409,0.9043,8.51733,0.66294,0.000171803,0.000171803,0.000171803
114,9443.09,1.28368,1.49094,0.9073,0.77944,0.88925,0.8462,0.71431,0.75742,7.8374,0.65935,0.00016933,0.00016933,0.00016933
115,9525.74,1.28017,1.48011,0.90638,0.76247,0.91215,0.84077,0.6132,1.09282,8.56264,0.67626,0.000166859,0.000166859,0.000166859
116,9608.64,1.29483,1.47508,0.91399,0.77906,0.88503,0.84946,0.72246,0.69898,8.94003,0.66042,0.00016439,0.00016439,0.00016439
117,9691.01,1.28566,1.49734,0.90828,0.76902,0.90456,0.84463,0.6171,1.15161,8.74813,0.66216,0.000161924,0.000161924,0.000161924
118,9773.21,1.29133,1.47025,0.90716,0.76922,0.89805,0.83708,0.64582,0.94109,7.46399,0.6575,0.000159461,0.000159461,0.000159461
119,9855.51,1.26862,1.4426,0.90475,0.76748,0.88937,0.8435,0.62475,1.04925,6.07227,0.66213,0.000157001,0.000157001,0.000157001
120,9938.08,1.29045,1.46602,0.90879,0.75816,0.90239,0.842,0.61623,1.06712,6.48344,0.6593,0.000154545,0.000154545,0.000154545
121,10021.5,1.27685,1.45441,0.90651,0.76353,0.91054,0.84158,0.58792,1.15926,7.37619,0.66774,0.000152094,0.000152094,0.000152094
122,10104.7,1.23988,1.43143,0.904,0.76352,0.90889,0.84929,0.6571,0.92328,7.63113,0.66619,0.000149648,0.000149648,0.000149648
123,10187,1.2536,1.44047,0.9022,0.75772,0.90889,0.85357,0.66078,0.90555,5.77414,0.65998,0.000147207,0.000147207,0.000147207
124,10269.3,1.25632,1.43641,0.90087,0.78715,0.88069,0.85447,0.63865,1.07443,6.39101,0.65629,0.000144772,0.000144772,0.000144772
125,10351.9,1.21475,1.39774,0.89724,0.79874,0.87636,0.8536,0.61813,1.07228,5.23575,0.65387,0.000142344,0.000142344,0.000142344
126,10434.5,1.22976,1.42541,0.89801,0.77983,0.89154,0.85166,0.68948,0.88999,6.62551,0.66332,0.000139923,0.000139923,0.000139923
127,10517.5,1.22706,1.37945,0.89653,0.76666,0.89588,0.85869,0.71423,0.85942,7.72507,0.65775,0.000137509,0.000137509,0.000137509
128,10601.3,1.22619,1.41369,0.89819,0.76818,0.90239,0.85344,0.63792,1.07208,7.03653,0.6678,0.000135104,0.000135104,0.000135104
129,10683.5,1.2052,1.3658,0.8912,0.77283,0.90456,0.85515,0.65764,1.01598,6.86532,0.65506,0.000132707,0.000132707,0.000132707
130,10766,1.17638,1.36184,0.88927,0.77922,0.89575,0.85254,0.63045,1.12942,6.22068,0.65497,0.000130319,0.000130319,0.000130319
131,10849.8,1.19528,1.36634,0.89353,0.783,0.89227,0.858,0.7213,0.83997,6.96221,0.65312,0.00012794,0.00012794,0.00012794
132,10932.9,1.21914,1.38788,0.89566,0.77848,0.89154,0.85234,0.70191,0.88351,7.16918,0.64923,0.000125571,0.000125571,0.000125571
133,11016.1,1.19452,1.38748,0.8935,0.78238,0.89805,0.84418,0.61808,1.10144,6.46687,0.64353,0.000123213,0.000123213,0.000123213
134,11098.4,1.18153,1.35267,0.88946,0.75964,0.91179,0.85183,0.69512,0.92842,8.71177,0.63823,0.000120865,0.000120865,0.000120865
135,11182,1.16501,1.32725,0.88972,0.76395,0.90565,0.84731,0.69776,0.85232,8.51605,0.64025,0.000118529,0.000118529,0.000118529
136,11266,1.18154,1.33044,0.89009,0.77409,0.88286,0.84543,0.67732,0.94018,8.78899,0.64422,0.000116205,0.000116205,0.000116205
137,11348.8,1.17495,1.33688,0.88622,0.7732,0.8948,0.84764,0.75437,0.7084,8.64033,0.64616,0.000113894,0.000113894,0.000113894
138,11430.9,1.15341,1.31634,0.89333,0.78805,0.88937,0.85041,0.74825,0.64817,8.47906,0.64422,0.000111595,0.000111595,0.000111595
139,11513,1.15438,1.33401,0.88811,0.78043,0.89371,0.85266,0.74633,0.72467,7.90055,0.64847,0.000109309,0.000109309,0.000109309
140,11596.7,1.16532,1.34988,0.8924,0.78056,0.89508,0.85194,0.72916,0.73523,7.65205,0.65001,0.000107037,0.000107037,0.000107037
141,11679.4,1.15844,1.32434,0.88999,0.77189,0.89805,0.85164,0.71427,0.78334,6.55863,0.6458,0.000104779,0.000104779,0.000104779
142,11761.5,1.15596,1.32775,0.89279,0.77263,0.90239,0.85632,0.74706,0.68716,7.59625,0.64465,0.000102536,0.000102536,0.000102536
143,11844.8,1.1496,1.29925,0.88068,0.78693,0.88069,0.85352,0.73602,0.73631,8.66239,0.64395,0.000100308,0.000100308,0.000100308
144,11926.9,1.14701,1.30823,0.88247,0.79411,0.87852,0.85762,0.74958,0.68424,6.60411,0.6448,9.80961e-05,9.80961e-05,9.80961e-05
145,12009,1.1457,1.29332,0.88719,0.77851,0.87636,0.85629,0.71553,0.79861,6.97361,0.6458,9.58999e-05,9.58999e-05,9.58999e-05
146,12092.3,1.15773,1.29301,0.88868,0.78591,0.86797,0.85752,0.69633,0.87607,7.51326,0.64936,9.37201e-05,9.37201e-05,9.37201e-05
147,12175.3,1.12161,1.26788,0.88468,0.79539,0.87852,0.85395,0.69435,0.87868,6.7147,0.65036,9.15573e-05,9.15573e-05,9.15573e-05
148,12257.7,1.13784,1.27607,0.88619,0.79325,0.86334,0.85723,0.74424,0.74485,7.50413,0.6481,8.94118e-05,8.94118e-05,8.94118e-05
149,12341,1.14099,1.31101,0.88775,0.7839,0.86554,0.85119,0.73934,0.72562,6.99901,0.64448,8.72841e-05,8.72841e-05,8.72841e-05
150,12424.5,1.12455,1.24922,0.88036,0.78525,0.86551,0.85257,0.75611,0.67825,5.88531,0.64492,8.51747e-05,8.51747e-05,8.51747e-05
151,12507.3,1.12643,1.25439,0.88602,0.7859,0.85993,0.85128,0.77076,0.58839,5.6835,0.64362,8.3084e-05,8.3084e-05,8.3084e-05
152,12590.4,1.12578,1.2566,0.88563,0.78218,0.86462,0.8519,0.76937,0.60851,5.66905,0.64319,8.10123e-05,8.10123e-05,8.10123e-05
153,12673.4,1.1379,1.29911,0.88093,0.76936,0.87636,0.84983,0.74715,0.66263,6.69256,0.64471,7.89602e-05,7.89602e-05,7.89602e-05
154,12757.9,1.11743,1.28137,0.88266,0.76231,0.89588,0.85156,0.75291,0.65892,6.9442,0.64213,7.6928e-05,7.6928e-05,7.6928e-05
155,12840.7,1.09927,1.22809,0.8828,0.77378,0.88294,0.85205,0.74304,0.75548,7.80395,0.64128,7.49162e-05,7.49162e-05,7.49162e-05
156,12922.9,1.10338,1.27722,0.88173,0.77617,0.88762,0.85614,0.7077,0.89355,8.70896,0.64761,7.29251e-05,7.29251e-05,7.29251e-05
157,13007.7,1.0855,1.22077,0.87732,0.77736,0.88613,0.85307,0.68202,0.9384,8.68346,0.64879,7.09553e-05,7.09553e-05,7.09553e-05
158,13090,1.08552,1.22256,0.87967,0.77484,0.88069,0.85227,0.70967,0.85617,8.25141,0.64469,6.90069e-05,6.90069e-05,6.90069e-05
159,13172.5,1.10128,1.23081,0.87838,0.80333,0.85249,0.85542,0.75475,0.65448,7.24482,0.6435,6.70806e-05,6.70806e-05,6.70806e-05
160,13254.6,1.07722,1.18221,0.8754,0.80543,0.84816,0.85663,0.75114,0.69302,6.5715,0.64649,6.51766e-05,6.51766e-05,6.51766e-05
161,13339.4,1.07069,1.22572,0.87423,0.79323,0.86117,0.85069,0.74584,0.69814,5.43551,0.64622,6.32954e-05,6.32954e-05,6.32954e-05
162,13424.1,1.06962,1.24149,0.8706,0.79112,0.86267,0.85003,0.73286,0.74996,6.41233,0.64525,6.14373e-05,6.14373e-05,6.14373e-05
163,13507.2,1.06501,1.21543,0.87346,0.77752,0.87178,0.85048,0.70406,0.83023,6.10904,0.64468,5.96027e-05,5.96027e-05,5.96027e-05
164,13591.6,1.07884,1.19369,0.87427,0.77197,0.88069,0.85047,0.67682,0.92197,5.97211,0.64652,5.7792e-05,5.7792e-05,5.7792e-05
165,13675.1,1.08631,1.23045,0.87684,0.77053,0.88286,0.84995,0.67876,0.92972,5.22107,0.64361,5.60056e-05,5.60056e-05,5.60056e-05
166,13758.3,1.05473,1.20334,0.87408,0.77204,0.85953,0.84849,0.71748,0.80646,5.62602,0.64474,5.42438e-05,5.42438e-05,5.42438e-05
167,13840.8,1.05513,1.17071,0.87006,0.76146,0.87202,0.8488,0.72495,0.77861,5.16909,0.63954,5.25069e-05,5.25069e-05,5.25069e-05
168,13923.4,1.03722,1.15921,0.87225,0.77285,0.86551,0.84825,0.71695,0.79315,5.12988,0.63709,5.07954e-05,5.07954e-05,5.07954e-05
169,14006.4,1.06983,1.21103,0.87612,0.7764,0.85868,0.85071,0.73191,0.75701,5.19291,0.63931,4.91096e-05,4.91096e-05,4.91096e-05
170,14090.2,1.05083,1.19096,0.86989,0.77668,0.86757,0.84751,0.73547,0.72306,5.48617,0.63956,4.74498e-05,4.74498e-05,4.74498e-05
171,14173.7,1.03687,1.17219,0.87181,0.77079,0.87202,0.84595,0.7184,0.7701,5.58303,0.64059,4.58164e-05,4.58164e-05,4.58164e-05
172,14257.8,1.0513,1.19893,0.87541,0.77121,0.87741,0.84681,0.72063,0.76846,5.83434,0.64142,4.42097e-05,4.42097e-05,4.42097e-05
173,14341.6,1.03434,1.15178,0.87101,0.77157,0.87636,0.84563,0.7181,0.78257,5.23394,0.63956,4.263e-05,4.263e-05,4.263e-05
174,14425.4,1.05093,1.15751,0.87472,0.77849,0.87202,0.84192,0.7165,0.7678,4.92962,0.63924,4.10776e-05,4.10776e-05,4.10776e-05
175,14509.4,1.03389,1.15591,0.87042,0.77793,0.86627,0.83942,0.70037,0.81066,4.59386,0.64117,3.95529e-05,3.95529e-05,3.95529e-05
176,14593,0.99199,1.10797,0.86692,0.78746,0.86798,0.841,0.71472,0.76609,5.06084,0.63961,3.80562e-05,3.80562e-05,3.80562e-05
177,14676.3,1.03264,1.16086,0.86924,0.78152,0.86129,0.84226,0.71301,0.77207,4.7846,0.63813,3.65878e-05,3.65878e-05,3.65878e-05
178,14759.9,1.02423,1.13395,0.86537,0.7776,0.86985,0.84315,0.70973,0.77997,4.77957,0.63691,3.5148e-05,3.5148e-05,3.5148e-05
179,14843.2,1.04261,1.17051,0.86989,0.77732,0.87082,0.84374,0.70225,0.80725,5.0171,0.63679,3.3737e-05,3.3737e-05,3.3737e-05
